id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
79639,61209,100 World Story,NULL,1991-08-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65497,2372,1000 Miglia,NULL,1991-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
19783,78213,16t,NULL,1991-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17122,22428,1991 Du Ma Racing,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172173,38852,3D Construction Kit,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
169127,12497,4D Sports Boxing,NULL,1991-06-15 00:00:00.000,5,NULL,NULL,NULL,89.2903,9
12244,14196,500 c.c MotoManager,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
155654,6735,64th Street: A Detective Story,"The story starts out in a typical Double Dragon/Final Fight style setting at 64th Street with two protagonists: Rick (Anderson), a calm and intelligent, 35-year old professional private detective and manager of the detective agency; and Allen (Tombs), a 19-year old, reformed delinquent trained by Rick, who is ""short-tempered and violent when angry"". At the start of the plot, an evil corporation known as the Legacy organization, kidnapped the daughter of a mid-aged rich man and left him a letter explaining why they kidnapped her.

Late one night, before Rick and Allen was about to close their office, the mid-aged rich man, rushed inside the office while being exhausted. He asked for support on saving his daughter and gave the letter to Rick and Allen. The next day, Allen notices an advertisement in the classifieds with similar sentence structure to the letter left by the kidnappers. Rick couldn't understand it so easily, until Allen told him to look cautiously at both, the letter and the ad. They soon realised that the writing was actually a secret code, only understood by certain crime lords, so Rick and Allen struggled toward the main base of the Legacy organisation to find the truth and save the kidnapped daughter. The setting later takes on a steampunk feel as it goes along, coming to a head in a battle inside a blimp.",1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162452,11878,7 Colors,NULL,1991-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
37773,45945,A Visit to Sesame Street: Letters,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129644,39363,A.B.Cop Air Bike,NULL,1991-01-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81734,11880,A.G.E.: Advanced Galactic Empire,NULL,1991-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
107326,11882,A320 Airbus,NULL,1991-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
49226,46559,ABC Sports Presents: The Palm Spring Open,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
37402,46700,ABC Wide World Of Sports Boxing,NULL,1991-02-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
12871,39887,Abcop: A.B. Cop,NULL,1991-01-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125319,46770,Acrobat Mission,NULL,1991-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179448,5340,Action 52,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77191,68964,Actua Ice Hockey,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
95449,11886,Adrenalynn,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
61686,65524,Advanced Daisenryaku: Deutsch Dengeki Sakusen,NULL,1991-06-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
181664,5384,Advanced Dungeons & Dragons: Eye of the Beholder,NULL,1991-12-31 00:00:00.000,11,NULL,NULL,NULL,82.0496,32
90528,12348,Advanced Fruit Machine Simulator,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
161706,130548,Advanced Lord Monarch,NULL,1991-11-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96290,11888,Advantage Tennis,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
192388,6471,Adventure Island II,"Princess Leilani may be safe, but her sister, the sweet and beautiful Tina, has just been kidnapped by the Evil Witch Doctor's persistent followers. Eight perilous islands are in control of the various monster minions, although four friendly dinosaurs will gladly ally themselves with those willing to brave the islands' dangers and defeat their common oppressors. Thinking of how grateful his favorite lady will be when he comes to her rescue, Master Higgins embarks on a daunting quest to get to his honey.",1991-02-01 00:00:00.000,4,NULL,NULL,NULL,63.4409,26
100830,14225,Adventures in Math,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
153976,7547,Adventures of Lolo 3,NULL,1991-11-21 00:00:00.000,1,NULL,NULL,NULL,79.5105,9
106172,50500,Adventures of Maddog Williams In The Dungeons of Duridian,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116876,7746,Aerostar,NULL,1991-06-28 00:00:00.000,NULL,NULL,NULL,NULL,64.0000,0
92097,14228,Afrika Korps,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71274,5356,After Burner III,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49299,38598,Agress,NULL,1991-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
155904,39536,Ah Eikou No Koushien,NULL,1991-06-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31737,12281,Air Supremacy,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82904,48606,Akagawa Jirou no Yuurei Ressha,NULL,1991-03-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
50479,14162,Alcantor,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
183091,42078,Aldynes: The Mission Code for Rage Crisis,NULL,1991-02-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99955,76197,Alianator,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
53913,8633,Alien Breed,"The year is 2191 and the galaxy stands on the brink of war, only the Inter-Planetary Corps maintain the uneasy peace. IPCC Miraculous was heading back for federation HQ after six months on routine patrol around the Intex Network. Nothing had happened and nothing ever did in this god forsaken place. Crew members Johnson and Stone were glad to be going home. Then came the orders to check out a remote Space Research Centre which had failed to transmit on any of the Federation wavebands. ISRC-4 was situated near the red-giant Gianor and was the last place they wanted to go. As the crafts retros fired and the craft began it's approach path, Johnson and Stone prepared for duty, not knowing quite what to expect. There was something strange about the eerie silence that shrouded the station, something was obviously very wrong. Slowly the crafts wings folded and the craft gently docked into shuttle bay 2, they opened the airlocks and walked straight into the midst of an Alien Breed.",1991-12-31 00:00:00.000,4,NULL,70.0000,1,79.8906,17
53839,14242,Alien Drug Lords: The Chyropian Connection,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
108123,41370,All One,NULL,1991-02-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
55447,217644,All Pro Basketball,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
148889,13681,Alpha Mission II,NULL,1991-01-25 00:00:00.000,1,NULL,NULL,NULL,73.0000,4
25949,7752,Altered Space,NULL,1991-09-01 00:00:00.000,NULL,NULL,NULL,NULL,47.0000,0
155758,7754,Amazing Tater,"Meet Spud, the A-Mazing Tater Spud must pass the King's Challenge to become a Knight. The Challenge will test his feet, his brain, and his heart. Can you help young Spud as he tries to meet the Challenge?",1991-08-02 00:00:00.000,NULL,NULL,NULL,NULL,43.0000,0
88745,215443,Amazônia,"You were flying a plane, and due to an engine failure, you had to make an emergency landing in the middle of the Amazon jungle. You survived, and now you must find a way to escape from the numerous traps and surprises that a trip through the jungle reserves for these ""lucky ones"". Good luck mate...",1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110208,45577,Ambition of caesar,NULL,1991-03-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83175,48603,America Oudan Ultra Quiz: Shijou Saidai no Tatakai,NULL,1991-12-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
142901,13953,American 3D Pool,NULL,1991-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
169474,4377,American Gladiators,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,54.0406,5
16096,76230,Amiga Encounter,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96595,14254,Amnios,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82120,14255,Amy's Fun-2-3 Adventure,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
48746,14164,Ancient Games,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105033,215853,Angra-I,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124052,145243,ANIMAC,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31645,4348,Another World,NULL,1991-12-31 00:00:00.000,32,NULL,NULL,NULL,87.0780,140
84456,45380,Aquales,NULL,1991-10-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19728,11907,Arachnophobia,NULL,1991-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
97016,13328,Arcade Trivia Quiz,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104858,8488,Arctic Adventure,NULL,1991-10-09 00:00:00.000,NULL,NULL,NULL,NULL,60.0000,1
159037,16138,Arcus Odyssey,NULL,1991-06-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
192960,137076,Aretha II,NULL,1991-09-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146827,50401,Armada 2525,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
150521,95514,Armadillo,NULL,1991-08-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18398,14266,Armalyte: The Final Run,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113340,10448,Armed Police Unit Gallop,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145346,98262,Armored Trooper Votoms: Dead Ash,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
67743,11915,Armour-Geddon,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
165865,46288,Art Alive,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78373,39578,Ashita no Joe,NULL,1991-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128943,7798,Asmik-kun World 2,NULL,1991-05-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20601,6881,Assault,NULL,1991-10-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
114492,19486,Asterix,NULL,1991-12-31 00:00:00.000,4,NULL,NULL,NULL,79.5655,12
157130,18937,Atomic Punk,"In the year 2091, robot contests have gained popularity. Bomberman and King Bomber have become the best robot team in the world. One day, King Bomber suddenly turns and attacks mankind. Bomberman and his brother Bomberman 2 must confront King Bomber and defend the people.",1991-12-31 00:00:00.000,8,NULL,NULL,NULL,75.9106,10
163627,7761,Attack of the Killer Tomatoes,"Chad Finletter goes on a journey to stop the evil Dr. Putrid T. Gangreen from unleashing his Doomsday Tomato. Chad must fight through hordes of mutant tomatoes alone, as all others are too afraid to help him.",1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,55.0000,4
121211,9107,Aussie Rules Footy,"Aussie Rules Footy is, as the name suggests, a game that allows the player to play Australian rules football. The teams in the game are based off of the 1991 AFL season, in addition to the fictional teams Darwin, Canberra, and Hobart. Season play was not available-players were limited to playing individual games at a time.",1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
86465,13353,Autocrash,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33247,48692,Auto-Upturn,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102929,13354,Avalanche: The Struggle for Italy,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
187600,7762,Avenging Spirit,"During a walk with his girlfriend, the player is ambushed by agents of a mysterious crime syndicate who take his girlfriend away and shoot him to death. Now, as a wandering spirit with the ability to possess most others, he is summoned by his girlfriend's father (who researches ghost energy) and is given a mission to save her from the mysterious crime syndicate that holds her hostage, enabling the player to rest in peace. (Wikipedia: The Free Encyclopedia, s.v. ""Avenging Spirit"")",1991-12-31 00:00:00.000,1,NULL,NULL,NULL,73.0000,3
68930,12363,Awesome Golf,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116265,45741,Aworg: Hero in the Sky,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110163,19485,Ax Battler: A Legend of Golden Axe,NULL,1991-11-01 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
15163,39071,Axys: The Last Battle,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18004,11930,Baby Jo In ''Going Home'',NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
37518,40875,Baby Jo: Going Home,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27173,217648,Back to the Future,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98794,8519,Back to the Future Part III,NULL,1991-12-31 00:00:00.000,1,NULL,NULL,NULL,47.7528,4
70915,14280,Backgammon,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114878,77148,Backgammon,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20690,45646,Bahamut Senki,NULL,1991-03-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128889,47575,Bakatonosama Mahjong Manyuki,NULL,1991-01-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84917,48728,Bakushou!! Ai no Gekijou,NULL,1991-01-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85074,48727,Bakushou!! Jinsei Gekijou 2,NULL,1991-06-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15499,39055,Balldozer,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146935,9264,Banana Prince,"The Banana Prince is on a quest to retrieve the weapons that have been stolen from his Island. As he completes his quest, he picks up companions on the way and engages in many adventures, even appearing on a game show, which allows the player to warp to another level. The Banana Prince has a bag of seeds that enable him to grow flowers that he can clime on. He is also able to use weapons.",1991-12-20 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
76574,7763,Banishing Racer,NULL,1991-07-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
39709,11942,Barbarian II,NULL,1991-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
13277,3308,Barbie,"Barbie takes place in a dream, where the title character travels through three different worlds to gather accessories prior to attending a ball, where she will meet Ken. Various boosts, such as dream-ups and glamor items will help Barbie on her way, as she avoids obstacles and prevents her ""Zs"" from dropping so that she can stay in the dream.",1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29620,14284,Barney Bear Goes Camping,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5074,12399,Barney Bear Goes to School,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124483,205734,Bart Simpson's Cupcake Crisis,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25586,2829,Bart Simpson's Escape from Camp Deadly,NULL,1991-11-01 00:00:00.000,1,NULL,NULL,NULL,55.0000,2
63516,131005,Baseball,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83543,48615,Baseball Fighter,NULL,1991-08-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72194,10257,Bases Loaded 4,NULL,1991-11-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70730,4489,Batman: Return of the Joker,"The story begins with the escape of the Joker from an insane asylum. As always, Joker attempts to corrupt Gotham City and put it into chaos. Batman, after defeating a number of different henchmen, must bring Joker to justice.",1991-12-20 00:00:00.000,3,NULL,NULL,NULL,63.4815,22
186406,46353,Batter Up,NULL,1991-04-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81936,11944,Battle Bound,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81751,144453,Battle Chess Enhanced,NULL,1991-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46550,11098,Battle Chess II: Chinese Chess,NULL,1991-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
83231,44426,Battle Commander: Hachibushu Shura no Heihou,NULL,1991-12-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
111083,49148,Battle Dodge Ball: Toukyuu Daigekitotsu!,NULL,1991-07-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99308,4470,Battle Golfer Yui,NULL,1991-02-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120510,9030,Battle Isle,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129244,7772,Battle of Kingdom,NULL,1991-12-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120062,48585,Battle Stadium: Senbatsu Pro Yakyuu,NULL,1991-01-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154344,77147,Battleship,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
